"module" "Zsummaries" "comp" "module_size" "Case"
"1" "lightsteelblue1" -0.38621 "4p" 195 "D"
"2" "lightsteelblue1" 1.82139 "n4p" 195 "D"
"3" "lightsteelblue1" -0.49711 "4p" 195 "D"
"4" "lightsteelblue1" 0.54553 "n4p" 195 "D"
"5" "lightsteelblue1" 0.74321 "4p" 195 "D"
"6" "lightsteelblue1" -0.11017 "n4p" 195 "D"
"7" "mediumpurple3" 1.06359 "4p" 196 "D"
"8" "mediumpurple3" 2.04578 "n4p" 196 "D"
"9" "mediumpurple3" 1.14591 "4p" 196 "D"
"10" "mediumpurple3" 0.58803 "n4p" 196 "D"
"11" "mediumpurple3" 0.86172 "4p" 196 "D"
"12" "mediumpurple3" 1.5057 "n4p" 196 "D"
"13" "mediumpurple3" 0.12579 "4p" 196 "D"
"14" "mediumpurple3" 2.04831 "n4p" 196 "D"
"15" "orangered4" 0.59727 "4p" 196 "D"
"16" "orangered4" 0.86387 "n4p" 196 "D"
"17" "orangered4" 0.03532 "4p" 196 "D"
"18" "orangered4" 0.93802 "n4p" 196 "D"
"19" "orangered4" 0.39789 "4p" 196 "D"
"20" "orangered4" 2.3828 "n4p" 196 "D"
"21" "orangered4" 1.48637 "4p" 196 "D"
"22" "orangered4" 2.73995 "n4p" 196 "D"
"23" "plum1" 0.83553 "4p" 216 "D"
"24" "plum1" 1.04965 "n4p" 216 "D"
"25" "plum1" 0.5489 "4p" 216 "D"
"26" "plum1" 0.02194 "n4p" 216 "D"
"27" "plum1" 0.74511 "4p" 216 "D"
"28" "plum1" 0.78534 "n4p" 216 "D"
"29" "plum1" 0.78148 "4p" 216 "D"
"30" "plum1" 0.76258 "n4p" 216 "D"
"31" "plum1" 0.40805 "4p" 216 "D"
"32" "plum1" 2.33717 "n4p" 216 "D"
"33" "plum1" -0.30532 "4p" 216 "D"
"34" "plum1" 0.16904 "n4p" 216 "D"
"35" "skyblue3" 0.23782 "4p" 223 "D"
"36" "skyblue3" 0.97504 "n4p" 223 "D"
"37" "skyblue3" 0.68012 "4p" 223 "D"
"38" "skyblue3" 0.82133 "n4p" 223 "D"
"39" "skyblue3" 0.50891 "4p" 223 "D"
"40" "skyblue3" 0.47419 "n4p" 223 "D"
"41" "skyblue3" 1.40445 "4p" 223 "D"
"42" "skyblue3" 0.00651 "n4p" 223 "D"
"43" "skyblue3" 1.00676 "4p" 223 "D"
"44" "skyblue3" 0.01304 "n4p" 223 "D"
"45" "skyblue3" -0.08728 "4p" 223 "D"
"46" "skyblue3" 0.41671 "n4p" 223 "D"
"47" "yellowgreen" 0.25169 "4p" 227 "D"
"48" "yellowgreen" 0.62966 "n4p" 227 "D"
"49" "yellowgreen" 0.25509 "4p" 227 "D"
"50" "yellowgreen" 0.15083 "n4p" 227 "D"
"51" "yellowgreen" 2.28576 "4p" 227 "D"
"52" "yellowgreen" -0.28715 "n4p" 227 "D"
"53" "yellowgreen" -0.48371 "4p" 227 "D"
"54" "yellowgreen" -0.72775 "n4p" 227 "D"
"55" "yellowgreen" 0.81645 "4p" 227 "D"
"56" "yellowgreen" 0.31969 "n4p" 227 "D"
"57" "sienna3" 1.06224 "4p" 241 "D"
"58" "sienna3" 3.43422 "n4p" 241 "D"
"59" "sienna3" 1.22916 "4p" 241 "D"
"60" "sienna3" 0.0811 "n4p" 241 "D"
"61" "sienna3" -0.34251 "4p" 241 "D"
"62" "sienna3" 1.84947 "n4p" 241 "D"
"63" "sienna3" 1.06988 "4p" 241 "D"
"64" "sienna3" 0.369 "n4p" 241 "D"
"65" "sienna3" 1.41074 "4p" 241 "D"
"66" "sienna3" 0.32703 "n4p" 241 "D"
"67" "sienna3" 1.58997 "4p" 241 "D"
"68" "sienna3" 2.90966 "n4p" 241 "D"
"69" "grey" 4.34005 "4p" 249 "A"
"70" "grey" 1.36933 "n4p" 249 "A"
"71" "grey" 1.37624 "4p" 249 "A"
"72" "grey" 5.93185 "n4p" 249 "A"
"73" "grey" 3.53038 "4p" 249 "A"
"74" "grey" 7.108 "n4p" 249 "A"
"75" "darkmagenta" 0.24357 "4p" 255 "D"
"76" "darkmagenta" 1.48763 "n4p" 255 "D"
"77" "darkmagenta" 1.20095 "4p" 255 "D"
"78" "darkmagenta" 0.67403 "n4p" 255 "D"
"79" "darkmagenta" 1.64752 "4p" 255 "D"
"80" "darkmagenta" 0.44087 "n4p" 255 "D"
"81" "darkmagenta" 2.34859 "4p" 255 "D"
"82" "darkmagenta" 0.46534 "n4p" 255 "D"
"83" "darkmagenta" 1.87867 "4p" 255 "D"
"84" "darkmagenta" 1.60396 "n4p" 255 "D"
"85" "darkmagenta" 1.07182 "4p" 255 "D"
"86" "darkmagenta" 0.23265 "n4p" 255 "D"
"87" "darkolivegreen" 1.2447 "4p" 274 "D"
"88" "darkolivegreen" 2.8603 "n4p" 274 "D"
"89" "darkolivegreen" 0.36375 "4p" 274 "D"
"90" "darkolivegreen" 0.93306 "n4p" 274 "D"
"91" "darkolivegreen" -0.00769 "4p" 274 "D"
"92" "darkolivegreen" 1.23443 "n4p" 274 "D"
"93" "darkolivegreen" -0.05643 "4p" 274 "D"
"94" "darkolivegreen" 0.57053 "n4p" 274 "D"
"95" "darkolivegreen" 5.07287 "4p" 274 "D"
"96" "darkolivegreen" 0.86189 "n4p" 274 "D"
"97" "darkolivegreen" -0.36963 "4p" 274 "D"
"98" "darkolivegreen" 0.75508 "n4p" 274 "D"
"99" "darkolivegreen" 0.13944 "4p" 274 "D"
"100" "darkolivegreen" 1.00966 "n4p" 274 "D"
"101" "violet" 0.23356 "4p" 276 "D"
"102" "violet" 1.64566 "n4p" 276 "D"
"103" "violet" 0.83328 "4p" 276 "D"
"104" "violet" -0.95594 "n4p" 276 "D"
"105" "violet" 1.03571 "4p" 276 "D"
"106" "violet" -0.1496 "n4p" 276 "D"
"107" "violet" -0.08741 "4p" 276 "D"
"108" "violet" 0.39246 "n4p" 276 "D"
"109" "violet" -0.0705 "4p" 276 "D"
"110" "violet" 0.12728 "n4p" 276 "D"
"111" "violet" -0.20222 "4p" 276 "D"
"112" "violet" 0.20204 "n4p" 276 "D"
"113" "paleturquoise" 3.96854 "4p" 281 "A"
"114" "paleturquoise" 1.65256 "n4p" 281 "A"
"115" "paleturquoise" 1.81886 "4p" 281 "A"
"116" "paleturquoise" 0.59707 "n4p" 281 "A"
"117" "paleturquoise" 4.21863 "4p" 281 "A"
"118" "paleturquoise" 2.70614 "n4p" 281 "A"
"119" "paleturquoise" -0.74951 "4p" 281 "A"
"120" "paleturquoise" 3.43335 "n4p" 281 "A"
"121" "paleturquoise" 4.40497 "4p" 281 "A"
"122" "paleturquoise" 3.15777 "n4p" 281 "A"
"123" "steelblue" 3.71761 "4p" 288 "D"
"124" "steelblue" 1.09398 "n4p" 288 "D"
"125" "steelblue" 2.35679 "4p" 288 "D"
"126" "steelblue" 1.72642 "n4p" 288 "D"
"127" "steelblue" 1.46279 "4p" 288 "D"
"128" "steelblue" 2.65607 "n4p" 288 "D"
"129" "steelblue" 0.1495 "4p" 288 "D"
"130" "steelblue" 3.99006 "n4p" 288 "D"
"131" "steelblue" -0.5873 "4p" 288 "D"
"132" "steelblue" -0.15455 "n4p" 288 "D"
"133" "steelblue" 0.17546 "4p" 288 "D"
"134" "steelblue" -0.49292 "n4p" 288 "D"
"135" "saddlebrown" 1.66247 "4p" 303 "D"
"136" "saddlebrown" 1.77426 "n4p" 303 "D"
"137" "saddlebrown" 1.27115 "4p" 303 "D"
"138" "saddlebrown" NA "n4p" 303 "D"
"139" "saddlebrown" 2.24078 "4p" 303 "D"
"140" "saddlebrown" -0.16663 "n4p" 303 "D"
"141" "saddlebrown" 2.86777 "4p" 303 "D"
"142" "saddlebrown" 0.65592 "n4p" 303 "D"
"143" "saddlebrown" NA "4p" 303 "D"
"144" "saddlebrown" 1.0302 "n4p" 303 "D"
"145" "skyblue" 0.40529 "4p" 308 "D"
"146" "skyblue" -0.31067 "n4p" 308 "D"
"147" "skyblue" 0.81632 "4p" 308 "D"
"148" "skyblue" 1.81349 "n4p" 308 "D"
"149" "skyblue" NA "4p" 308 "D"
"150" "skyblue" 1.51442 "n4p" 308 "D"
"151" "skyblue" 0.39794 "4p" 308 "D"
"152" "skyblue" 3.3303 "n4p" 308 "D"
"153" "skyblue" 0.46749 "4p" 308 "D"
"154" "skyblue" 0.08578 "n4p" 308 "D"
"155" "skyblue" 0.27303 "4p" 308 "D"
"156" "skyblue" 4.22377 "n4p" 308 "D"
"157" "skyblue" NA "4p" 308 "D"
"158" "skyblue" 0.0902 "n4p" 308 "D"
"159" "skyblue" 0.2477 "4p" 308 "D"
"160" "skyblue" 4.43579 "n4p" 308 "D"
"161" "white" -0.38387 "4p" 316 "D"
"162" "white" -0.25401 "n4p" 316 "D"
"163" "white" 0.68044 "4p" 316 "D"
"164" "white" 1.29793 "n4p" 316 "D"
"165" "white" 1.52775 "4p" 316 "D"
"166" "white" 1.5402 "n4p" 316 "D"
"167" "white" -0.44239 "4p" 316 "D"
"168" "white" 0.60306 "n4p" 316 "D"
"169" "white" -0.47908 "4p" 316 "D"
"170" "white" 1.40828 "n4p" 316 "D"
"171" "white" 0.54563 "4p" 316 "D"
"172" "white" 0.22208 "n4p" 316 "D"
"173" "darkorange" 6.10229 "4p" 320 "B"
"174" "darkorange" 0.64984 "n4p" 320 "B"
"175" "darkorange" 1.1085 "4p" 320 "B"
"176" "darkorange" 3.65978 "n4p" 320 "B"
"177" "darkorange" 10.44817 "4p" 320 "B"
"178" "darkorange" 2.71852 "n4p" 320 "B"
"179" "darkorange" 0.23639 "4p" 320 "B"
"180" "darkorange" 0.10738 "n4p" 320 "B"
"181" "darkorange" 3.85671 "4p" 320 "B"
"182" "darkorange" 0.69615 "n4p" 320 "B"
"183" "darkorange" 0.46584 "4p" 320 "B"
"184" "darkorange" 0.71866 "n4p" 320 "B"
"185" "darkorange" 3.31663 "4p" 320 "B"
"186" "darkorange" -0.1112 "n4p" 320 "B"
"187" "darkorange" 2.77715 "4p" 320 "B"
"188" "darkorange" 0.40552 "n4p" 320 "B"
"189" "orange" 6.90864 "4p" 361 "B"
"190" "orange" -0.46155 "n4p" 361 "B"
"191" "orange" 2.07224 "4p" 361 "B"
"192" "orange" 4.12773 "n4p" 361 "B"
"193" "orange" 3.02407 "4p" 361 "B"
"194" "orange" 3.17109 "n4p" 361 "B"
"195" "orange" 1.73116 "4p" 361 "B"
"196" "orange" 3.65332 "n4p" 361 "B"
"197" "orange" 0.14376 "4p" 361 "B"
"198" "orange" 1.61154 "n4p" 361 "B"
"199" "orange" 1.69269 "4p" 361 "B"
"200" "orange" 0.59997 "n4p" 361 "B"
