sample	ploidy	time
D026	2	N
D083	6	N
D085	12	N
D090	2	N
D101	2	D
D102	12	D
D103	4	D
D104	6	D
D106	2	D
D107	6	D
D108	6	D
D109	6	N
D110	4	N
D111	12	N
D112	2	N
D114	2	D
D115	12	D
D118	6	D
D121	2	N
D123	12	N
D125	2	N
D126	12	N
D127	2	D
D129	6	D
D133	4	N
D134	12	N
D136	4	N
D137	4	N
D138	6	N
D139	12	D
D140	4	D
D141	4	D
D143	4	N
D144	2	N
D145	6	N
D147	12	N
D148	12	D
D149	12	D
D150	12	D
D152	2	D
D153	12	D
D157	6	D
D158	2	D
D160	12	N
D164	6	N
D165	12	N
D167	2	N
D170	4	D
D172	2	N
D176	12	D
D177	2	D
D180	6	N
D183	6	D
D186	2	D
D196	4	D
D203	4	D
D205	6	N
D210	6	N
D211	4	N
D213	4	N
D214	4	N
D215	4	D
D224	4	D
D226	6	D
D154	4neo	D
D151	4neo	D
D171	4neo	D
D135	4neo	N
D168	4neo	N
D159	4neo	N
D181	leaf	N
