"preprocessed" "module_detected" "compared" "submodule_detected"
"DIABRO_000001" TRUE "red" TRUE "blue"
"DIABRO_000002" TRUE "green" TRUE "turquoise"
"DIABRO_000003" TRUE "green" TRUE "turquoise"
"DIABRO_000004" TRUE "yellow" TRUE "magenta"
"DIABRO_000005" TRUE "saddlebrown" TRUE "turquoise"
"DIABRO_000006" TRUE "magenta" TRUE "turquoise"
"DIABRO_000007" TRUE "blue" TRUE "brown"
"DIABRO_000008" TRUE "tan" TRUE "green"
"DIABRO_000009" TRUE "black" TRUE "green"
"DIABRO_000010" TRUE "tan" TRUE "turquoise"
"DIABRO_000011" TRUE "brown" TRUE "lightgreen"
"DIABRO_000012" TRUE "violet" TRUE "blue"
"DIABRO_000013" TRUE "blue" TRUE "darkred"
"DIABRO_000014" TRUE "orangered4" TRUE "blue"
"DIABRO_000016" TRUE "green" TRUE "turquoise"
"DIABRO_000017" TRUE "grey60" TRUE "brown"
"DIABRO_000018" TRUE "steelblue" TRUE "turquoise"
"DIABRO_000019" TRUE "yellowgreen" TRUE "blue"
"DIABRO_000021" TRUE "mediumpurple3" TRUE "blue"
"DIABRO_000022" TRUE "grey60" TRUE "turquoise"
"DIABRO_000024" TRUE "darkred" TRUE "blue"
"DIABRO_000025" TRUE "darkmagenta" TRUE "green"
"DIABRO_000026" TRUE "red" TRUE "black"
"DIABRO_000028" TRUE "turquoise" TRUE "turquoise"
"DIABRO_000029" TRUE "turquoise" TRUE "turquoise"
"DIABRO_000030" TRUE "grey" TRUE "turquoise"
"DIABRO_000031" TRUE "darkorange" TRUE "blue"
"DIABRO_000032" TRUE "darkorange" TRUE "turquoise"
"DIABRO_000033" TRUE "lightyellow" TRUE "turquoise"
"DIABRO_000036" TRUE "red" TRUE "brown"
"DIABRO_000037" TRUE "magenta" TRUE "blue"
"DIABRO_000039" TRUE "blue" TRUE "brown"
"DIABRO_000040" TRUE "steelblue" TRUE "green"
"DIABRO_000041" TRUE "royalblue" TRUE "turquoise"
"DIABRO_000043" TRUE "darkorange" TRUE "blue"
"DIABRO_000045" TRUE "lightcyan" TRUE "green"
"DIABRO_000046" TRUE "skyblue" TRUE "brown"
"DIABRO_000047" TRUE "brown" TRUE "pink"
