"D154" "D151" "D171" "D135" "D168" "D159"
"DIABRO_000001" 9.40498077069826 9.58157414428812 9.05671664276211 9.60374082503918 9.72040933454864 9.62630278848993
"DIABRO_000002" 10.7765529381143 9.7020409594424 10.6961119072633 10.2207251203737 9.65012532838296 10.0071566840608
"DIABRO_000003" 9.16548364187005 7.52236554329161 8.73699663748622 8.51424269740308 7.91095279758466 7.90739775131836
"DIABRO_000004" 10.1785344008437 10.5383107276107 10.4539395111385 10.3434417386075 10.770006350924 10.2721710234564
"DIABRO_000005" 11.5818968305866 11.6983324277848 11.9923607696351 11.4516759845534 11.4268209112594 11.2135550132311
"DIABRO_000006" 5.73013077752665 6.02932837731294 5.75045938380248 5.63862335205249 6.26291150981586 6.01749316414536
"DIABRO_000007" 10.6353084258941 10.7283831024812 10.5330101783881 10.8284995077581 10.5803629818497 10.5355245815571
"DIABRO_000008" 9.8629625834991 9.37712948552723 9.91215085538743 9.28739921711961 9.14544293276191 8.57934953767675
"DIABRO_000009" 9.527897811194 9.88539796045808 9.7493505403019 9.34343286944418 9.66445970949446 9.67293461155706
"DIABRO_000010" 9.82304745597385 10.1832343584637 9.60536272573708 10.0907930076202 9.94017212284315 9.39958959940903
"DIABRO_000011" 11.5537555009146 11.5047766218298 11.2053304390484 11.4744577665853 11.3406736909117 11.2744524064276
"DIABRO_000012" 6.04144233841068 6.07289767047387 7.03149492376592 6.01978350050121 5.84375930267114 6.27602988741141
"DIABRO_000013" 11.0095253003182 10.920467666816 10.6487740624818 10.7764007100938 10.8607739916318 10.8105915887069
"DIABRO_000014" 7.14197354564546 7.13053870550785 6.24884814558559 7.17151083585266 7.2861355464157 6.41589653935729
"DIABRO_000016" 13.2604331146976 11.03311749718 13.0914357637501 12.4402273541645 11.250876821168 11.9598673446423
"DIABRO_000017" 5.95170468939648 6.17301891430143 5.92388633255518 6.01978350050121 6.08817483509945 5.81092435616369
"DIABRO_000018" 9.14879894493489 9.27827086912501 8.6252040388268 9.56932002071906 9.25896405496758 9.46866403954641
"DIABRO_000019" 7.55054710585535 7.59759799218408 6.56892831568813 7.31527630825887 7.45972490133782 6.66033779135353
"DIABRO_000021" 12.4551674106349 12.1120874971934 11.3481719458072 12.4453839761989 11.9123891889927 12.1244557613583
"DIABRO_000022" 10.3295853501376 5.57261792929951 6.71282974509531 10.1846412169926 5.89041168774354 6.51557557779627
"DIABRO_000024" 7.54304205120363 7.88120409966335 8.38651592298144 7.42410851629205 7.70827950577158 8.08267286461125
"DIABRO_000025" 7.02445388686832 6.36125610447225 6.61404998427369 6.98049963194376 6.87308010516035 6.71143019882803
"DIABRO_000026" 7.06845968232104 7.04771466166874 7.32715909903603 7.24537782281488 7.45972490133782 7.2834151209022
"DIABRO_000028" 5.34230316244255 5.40119277784278 6.20603681304181 5.32335330900601 5.10409291609478 6.09418678512367
"DIABRO_000029" 5.34230316244255 5.40119277784278 7.39950577328734 5.48313750462089 5.43777240329903 6.24551099969936
"DIABRO_000030" 6.69207341841378 5.88207422900799 5.98293598252031 6.06759322022606 6.07044294188047 6.41589653935729
"DIABRO_000031" 12.2298223355406 12.5659340049205 12.5294261301175 13.9762148472672 12.9231952834671 12.8957582835423
"DIABRO_000032" 8.02078826541889 8.31762077678875 7.98680285840152 7.83009035069973 8.14940305682092 8.03635839036373
"DIABRO_000033" 6.85687987288112 6.09386350459916 6.81631495481916 6.66866221413412 7.09288087767179 7.71582534399195
"DIABRO_000036" 10.7834954320586 10.8171221558907 11.4794629158089 10.8763387346121 10.7065103337101 11.2470201964788
"DIABRO_000037" 11.2214429833733 11.2284348717307 12.3521452615451 12.7484554127446 11.5804265663523 11.977591484898
"DIABRO_000039" 7.40023591352926 6.85357927779399 7.35980294756594 6.85661232250765 6.71358613229074 7.04135590231406
"DIABRO_000040" 6.30803607780493 6.11432973639582 6.42118337908547 6.11283116558013 6.37238521473093 6.87890067790001
"DIABRO_000041" 6.36936506619391 6.60971458830918 6.55347148876749 6.85661232250765 7.12717370839441 6.5958472845577
"DIABRO_000043" 6.19639074059955 5.98329955144691 5.95398210811301 6.31018112734461 6.27728126556253 5.78370585372365
"DIABRO_000045" 10.4323294576553 10.6056230665817 10.1780702065293 10.30943347294 10.5052642217531 10.3918697570202
"DIABRO_000046" 10.8548079038027 11.0511485748699 10.9033897192632 11.1083921288045 11.2486865414055 11.2816052775971
"DIABRO_000047" 8.79418867874723 8.98808182594888 9.17576415831305 8.84868361965813 8.91337396687358 8.8802038957762
"DIABRO_000048" 9.01046420241755 9.13298361054608 7.62238251400951 7.53115601326913 7.8727325414655 8.18403658892318
"DIABRO_000049" 5.10409291609478 5.10409291609478 5.61667471646197 5.10409291609478 5.43777240329903 5.30194421592748
"DIABRO_000050" 7.54304205120363 7.56339545840403 6.81631495481916 7.76126168122516 7.83740653375351 7.25149171914904
"DIABRO_000051" 7.80877907995513 8.19890564126566 8.52481742133762 13.2458690615966 8.71278810668578 8.55449821064404
