"noise" "comp_group" "module" "cons"
"1" 0.1 "a" "black" 0
"2" 0.1 "a" "blue" 5
"3" 0.1 "a" "brown" 5
"4" 0.1 "a" "cyan" 5
"5" 0.1 "a" "darkgreen" 0
"6" 0.1 "a" "darkgrey" 2
"7" 0.1 "a" "darkmagenta" 3
"8" 0.1 "a" "darkolivegreen" 0
"9" 0.1 "a" "darkorange" 1
"10" 0.1 "a" "darkred" 4
"11" 0.1 "a" "darkturquoise" 5
"12" 0.1 "a" "green" 5
"13" 0.1 "a" "greenyellow" 3
"14" 0.1 "a" "grey" 5
"15" 0.1 "a" "grey60" 5
"16" 0.1 "a" "lightcyan" 0
"17" 0.1 "a" "lightgreen" 5
"18" 0.1 "a" "lightsteelblue1" 5
"19" 0.1 "a" "lightyellow" 5
"20" 0.1 "a" "magenta" 5
"21" 0.1 "a" "mediumpurple3" 4
"22" 0.1 "a" "midnightblue" 0
"23" 0.1 "a" "orange" 5
"24" 0.1 "a" "orangered4" 1
"25" 0.1 "a" "paleturquoise" 5
"26" 0.1 "a" "pink" 5
"27" 0.1 "a" "plum1" 0
"28" 0.1 "a" "purple" 5
"29" 0.1 "a" "red" 5
"30" 0.1 "a" "royalblue" 0
"31" 0.1 "a" "saddlebrown" NA
"32" 0.1 "a" "salmon" 3
"33" 0.1 "a" "sienna3" 1
"34" 0.1 "a" "skyblue" NA
"35" 0.1 "a" "skyblue3" 0
"36" 0.1 "a" "steelblue" 5
"37" 0.1 "a" "tan" 1
"38" 0.1 "a" "turquoise" 5
"39" 0.1 "a" "violet" 5
"40" 0.1 "a" "white" 2
"41" 0.1 "a" "yellow" NA
"42" 0.1 "a" "yellowgreen" 3
"43" 0.1 "c" "black" 0
"44" 0.1 "c" "blue" 5
"45" 0.1 "c" "brown" 5
"46" 0.1 "c" "cyan" 4
"47" 0.1 "c" "darkgreen" 0
"48" 0.1 "c" "darkgrey" 0
"49" 0.1 "c" "darkmagenta" 1
"50" 0.1 "c" "darkolivegreen" 0
"51" 0.1 "c" "darkorange" 4
"52" 0.1 "c" "darkred" 4
"53" 0.1 "c" "darkturquoise" 5
"54" 0.1 "c" "green" 5
"55" 0.1 "c" "greenyellow" 3
"56" 0.1 "c" "grey" 5
"57" 0.1 "c" "grey60" 5
"58" 0.1 "c" "lightcyan" 1
"59" 0.1 "c" "lightgreen" 5
"60" 0.1 "c" "lightsteelblue1" 5
"61" 0.1 "c" "lightyellow" 5
"62" 0.1 "c" "magenta" 3
"63" 0.1 "c" "mediumpurple3" 1
"64" 0.1 "c" "midnightblue" 0
"65" 0.1 "c" "orange" 5
"66" 0.1 "c" "orangered4" 0
"67" 0.1 "c" "paleturquoise" 5
"68" 0.1 "c" "pink" 5
"69" 0.1 "c" "plum1" 0
"70" 0.1 "c" "purple" 5
"71" 0.1 "c" "red" 5
"72" 0.1 "c" "royalblue" 0
"73" 0.1 "c" "saddlebrown" NA
"74" 0.1 "c" "salmon" 1
"75" 0.1 "c" "sienna3" 2
"76" 0.1 "c" "skyblue" NA
"77" 0.1 "c" "skyblue3" 0
"78" 0.1 "c" "steelblue" 5
"79" 0.1 "c" "tan" 0
"80" 0.1 "c" "turquoise" 5
"81" 0.1 "c" "violet" 4
"82" 0.1 "c" "white" 2
"83" 0.1 "c" "yellow" NA
"84" 0.1 "c" "yellowgreen" 3
"85" 0.1 "h" "black" 0
"86" 0.1 "h" "blue" 5
"87" 0.1 "h" "brown" 5
"88" 0.1 "h" "cyan" 2
"89" 0.1 "h" "darkgreen" 0
"90" 0.1 "h" "darkgrey" 1
"91" 0.1 "h" "darkmagenta" 2
"92" 0.1 "h" "darkolivegreen" 0
"93" 0.1 "h" "darkorange" 0
"94" 0.1 "h" "darkred" 4
"95" 0.1 "h" "darkturquoise" 3
"96" 0.1 "h" "green" 5
"97" 0.1 "h" "greenyellow" 5
"98" 0.1 "h" "grey" 5
"99" 0.1 "h" "grey60" 5
"100" 0.1 "h" "lightcyan" 1
"101" 0.1 "h" "lightgreen" 5
"102" 0.1 "h" "lightsteelblue1" 4
"103" 0.1 "h" "lightyellow" 5
"104" 0.1 "h" "magenta" 4
"105" 0.1 "h" "mediumpurple3" 1
"106" 0.1 "h" "midnightblue" 0
"107" 0.1 "h" "orange" 5
"108" 0.1 "h" "orangered4" 3
"109" 0.1 "h" "paleturquoise" 5
"110" 0.1 "h" "pink" 5
"111" 0.1 "h" "plum1" 0
"112" 0.1 "h" "purple" 5
"113" 0.1 "h" "red" 5
"114" 0.1 "h" "royalblue" 0
"115" 0.1 "h" "saddlebrown" NA
"116" 0.1 "h" "salmon" 2
"117" 0.1 "h" "sienna3" 0
"118" 0.1 "h" "skyblue" NA
"119" 0.1 "h" "skyblue3" 0
"120" 0.1 "h" "steelblue" 5
"121" 0.1 "h" "tan" 0
"122" 0.1 "h" "turquoise" 5
"123" 0.1 "h" "violet" 3
"124" 0.1 "h" "white" 4
"125" 0.1 "h" "yellow" NA
"126" 0.1 "h" "yellowgreen" 2
"127" 0.5 "a" "black" 0
"128" 0.5 "a" "blue" 5
"129" 0.5 "a" "brown" 4
"130" 0.5 "a" "cyan" 4
"131" 0.5 "a" "darkgreen" 0
"132" 0.5 "a" "darkgrey" 1
"133" 0.5 "a" "darkmagenta" 1
"134" 0.5 "a" "darkolivegreen" 0
"135" 0.5 "a" "darkorange" 1
"136" 0.5 "a" "darkred" 1
"137" 0.5 "a" "darkturquoise" 5
"138" 0.5 "a" "green" 5
"139" 0.5 "a" "greenyellow" 3
"140" 0.5 "a" "grey" 5
"141" 0.5 "a" "grey60" 5
"142" 0.5 "a" "lightcyan" 0
"143" 0.5 "a" "lightgreen" 5
"144" 0.5 "a" "lightsteelblue1" 5
"145" 0.5 "a" "lightyellow" 5
"146" 0.5 "a" "magenta" 3
"147" 0.5 "a" "mediumpurple3" 2
"148" 0.5 "a" "midnightblue" 0
"149" 0.5 "a" "orange" 5
"150" 0.5 "a" "orangered4" 1
"151" 0.5 "a" "paleturquoise" 5
"152" 0.5 "a" "pink" 5
"153" 0.5 "a" "plum1" 0
"154" 0.5 "a" "purple" 5
"155" 0.5 "a" "red" 5
"156" 0.5 "a" "royalblue" 0
