"module" "comp" "comp_group" "noise" "score" "conserved" "module_size"
"1" "lightsteelblue1" "a1" "a" 0.1 10.3979 TRUE 195
"2" "lightsteelblue1" "a1" "a" 0.5 10.0698 TRUE 195
"3" "lightsteelblue1" "a1" "a" 1 9.1063 FALSE 195
"4" "lightsteelblue1" "a1" "a" 2 9.2301 FALSE 195
"5" "lightsteelblue1" "a2" "a" 0.1 11.8132 TRUE 195
"6" "lightsteelblue1" "a2" "a" 0.5 11.8405 TRUE 195
"7" "lightsteelblue1" "a2" "a" 1 11.8393 TRUE 195
"8" "lightsteelblue1" "a2" "a" 2 10.1181 TRUE 195
"9" "lightsteelblue1" "a3" "a" 0.1 10.9584 TRUE 195
"10" "lightsteelblue1" "a3" "a" 0.5 10.9251 TRUE 195
"11" "lightsteelblue1" "a3" "a" 1 10.1104 TRUE 195
"12" "lightsteelblue1" "a3" "a" 2 8.9831 FALSE 195
"13" "lightsteelblue1" "a4" "a" 0.1 11.1954 TRUE 195
"14" "lightsteelblue1" "a4" "a" 0.5 11.0686 TRUE 195
"15" "lightsteelblue1" "a4" "a" 1 10.6647 TRUE 195
"16" "lightsteelblue1" "a4" "a" 2 9.1408 FALSE 195
"17" "lightsteelblue1" "a5" "a" 0.1 11.5368 TRUE 195
"18" "lightsteelblue1" "a5" "a" 0.5 11.5956 TRUE 195
"19" "lightsteelblue1" "a5" "a" 1 11.2682 TRUE 195
"20" "lightsteelblue1" "a5" "a" 2 9.1361 FALSE 195
"21" "lightsteelblue1" "c1" "c" 0.1 10.484 TRUE 195
"22" "lightsteelblue1" "c1" "c" 0.5 10.6852 TRUE 195
"23" "lightsteelblue1" "c1" "c" 1 10.4649 TRUE 195
"24" "lightsteelblue1" "c1" "c" 2 10.4646 TRUE 195
"25" "lightsteelblue1" "c2" "c" 0.1 11.4605 TRUE 195
"26" "lightsteelblue1" "c2" "c" 0.5 11.2863 TRUE 195
"27" "lightsteelblue1" "c2" "c" 1 10.3414 TRUE 195
"28" "lightsteelblue1" "c2" "c" 2 8.8143 FALSE 195
"29" "lightsteelblue1" "c3" "c" 0.1 10.683 TRUE 195
"30" "lightsteelblue1" "c3" "c" 0.5 10.6988 TRUE 195
"31" "lightsteelblue1" "c3" "c" 1 9.5199 FALSE 195
"32" "lightsteelblue1" "c3" "c" 2 9.2948 FALSE 195
"33" "lightsteelblue1" "c4" "c" 0.1 10.3779 TRUE 195
"34" "lightsteelblue1" "c4" "c" 0.5 10.2138 TRUE 195
"35" "lightsteelblue1" "c4" "c" 1 9.0348 FALSE 195
"36" "lightsteelblue1" "c4" "c" 2 7.0479 FALSE 195
"37" "lightsteelblue1" "c5" "c" 0.1 11.4205 TRUE 195
"38" "lightsteelblue1" "c5" "c" 0.5 11.1972 TRUE 195
"39" "lightsteelblue1" "c5" "c" 1 9.8878 FALSE 195
"40" "lightsteelblue1" "c5" "c" 2 8.3501 FALSE 195
"41" "lightsteelblue1" "h1" "h" 0.1 10.739 TRUE 195
"42" "lightsteelblue1" "h1" "h" 0.5 10.7579 TRUE 195
"43" "lightsteelblue1" "h1" "h" 1 10.7629 TRUE 195
"44" "lightsteelblue1" "h1" "h" 2 9.3718 FALSE 195
"45" "lightsteelblue1" "h2" "h" 0.1 10.8642 TRUE 195
"46" "lightsteelblue1" "h2" "h" 0.5 10.9284 TRUE 195
"47" "lightsteelblue1" "h2" "h" 1 10.3637 TRUE 195
"48" "lightsteelblue1" "h2" "h" 2 8.8518 FALSE 195
"49" "lightsteelblue1" "h3" "h" 0.1 10.6959 TRUE 195
"50" "lightsteelblue1" "h3" "h" 0.5 10.661 TRUE 195
"51" "lightsteelblue1" "h3" "h" 1 9.8078 FALSE 195
"52" "lightsteelblue1" "h3" "h" 2 9.8792 FALSE 195
"53" "lightsteelblue1" "h4" "h" 0.1 9.6148 FALSE 195
"54" "lightsteelblue1" "h4" "h" 0.5 9.5415 FALSE 195
"55" "lightsteelblue1" "h4" "h" 1 8.4907 FALSE 195
"56" "lightsteelblue1" "h4" "h" 2 8.4049 FALSE 195
"57" "lightsteelblue1" "h5" "h" 0.1 11.0383 TRUE 195
"58" "lightsteelblue1" "h5" "h" 0.5 11.2233 TRUE 195
"59" "lightsteelblue1" "h5" "h" 1 10.9804 TRUE 195
"60" "lightsteelblue1" "h5" "h" 2 9.5924 FALSE 195
"61" "mediumpurple3" "a1" "a" 0.1 10.0891 TRUE 196
"62" "mediumpurple3" "a1" "a" 0.5 9.7421 FALSE 196
"63" "mediumpurple3" "a1" "a" 1 8.9015 FALSE 196
"64" "mediumpurple3" "a1" "a" 2 6.6823 FALSE 196
"65" "mediumpurple3" "a2" "a" 0.1 10.4979 TRUE 196
"66" "mediumpurple3" "a2" "a" 0.5 10.1358 TRUE 196
"67" "mediumpurple3" "a2" "a" 1 8.6693 FALSE 196
"68" "mediumpurple3" "a2" "a" 2 7.1514 FALSE 196
"69" "mediumpurple3" "a3" "a" 0.1 10.1025 TRUE 196
"70" "mediumpurple3" "a3" "a" 0.5 9.7549 FALSE 196
"71" "mediumpurple3" "a3" "a" 1 8.4184 FALSE 196
"72" "mediumpurple3" "a3" "a" 2 6.5859 FALSE 196
"73" "mediumpurple3" "a4" "a" 0.1 9.6692 FALSE 196
