"module" "Zsummaries" "comp" "comp_group" "noise" "module_size"
"1" "lightsteelblue1" 10.16613 "c1" "c" 0.1 195
"2" "lightsteelblue1" 10.48397 "c1" "c" 0.1 195
"3" "lightsteelblue1" 13.71752 "c1" "c" 0.1 195
"4" "lightsteelblue1" 11.46048 "c2" "c" 0.1 195
"5" "lightsteelblue1" 11.22469 "c2" "c" 0.1 195
"6" "lightsteelblue1" 13.5286 "c2" "c" 0.1 195
"7" "lightsteelblue1" 10.68297 "c3" "c" 0.1 195
"8" "lightsteelblue1" 9.73381 "c3" "c" 0.1 195
"9" "lightsteelblue1" 12.01923 "c3" "c" 0.1 195
"10" "lightsteelblue1" 9.82247 "c4" "c" 0.1 195
"11" "lightsteelblue1" 10.3779 "c4" "c" 0.1 195
"12" "lightsteelblue1" 15.50753 "c4" "c" 0.1 195
"13" "lightsteelblue1" 11.04334 "c5" "c" 0.1 195
"14" "lightsteelblue1" 11.42054 "c5" "c" 0.1 195
"15" "lightsteelblue1" 13.53409 "c5" "c" 0.1 195
"16" "lightsteelblue1" 10.39788 "a1" "a" 0.1 195
"17" "lightsteelblue1" 9.79029 "a1" "a" 0.1 195
"18" "lightsteelblue1" 15.53606 "a1" "a" 0.1 195
"19" "lightsteelblue1" 8.88105 "a2" "a" 0.1 195
"20" "lightsteelblue1" 11.81316 "a2" "a" 0.1 195
"21" "lightsteelblue1" 12.70275 "a2" "a" 0.1 195
"22" "lightsteelblue1" 10.95837 "a3" "a" 0.1 195
"23" "lightsteelblue1" 10.67606 "a3" "a" 0.1 195
"24" "lightsteelblue1" 12.70014 "a3" "a" 0.1 195
"25" "lightsteelblue1" 9.73636 "a4" "a" 0.1 195
"26" "lightsteelblue1" 11.19537 "a4" "a" 0.1 195
"27" "lightsteelblue1" 13.51448 "a4" "a" 0.1 195
"28" "lightsteelblue1" 11.51829 "a5" "a" 0.1 195
"29" "lightsteelblue1" 11.53685 "a5" "a" 0.1 195
"30" "lightsteelblue1" 14.76338 "a5" "a" 0.1 195
"31" "lightsteelblue1" 10.25814 "h1" "h" 0.1 195
"32" "lightsteelblue1" 10.73904 "h1" "h" 0.1 195
"33" "lightsteelblue1" 13.18906 "h1" "h" 0.1 195
"34" "lightsteelblue1" 10.68791 "h2" "h" 0.1 195
"35" "lightsteelblue1" 10.86418 "h2" "h" 0.1 195
"36" "lightsteelblue1" 14.48189 "h2" "h" 0.1 195
"37" "lightsteelblue1" 9.05305 "h3" "h" 0.1 195
"38" "lightsteelblue1" 10.69587 "h3" "h" 0.1 195
"39" "lightsteelblue1" 13.67884 "h3" "h" 0.1 195
"40" "lightsteelblue1" 9.5451 "h4" "h" 0.1 195
"41" "lightsteelblue1" 9.61483 "h4" "h" 0.1 195
"42" "lightsteelblue1" 14.51378 "h4" "h" 0.1 195
"43" "lightsteelblue1" 9.24333 "h5" "h" 0.1 195
"44" "lightsteelblue1" 11.03832 "h5" "h" 0.1 195
"45" "lightsteelblue1" 14.50905 "h5" "h" 0.1 195
"46" "lightsteelblue1" 10.02615 "c1" "c" 0.5 195
"47" "lightsteelblue1" 10.68523 "c1" "c" 0.5 195
"48" "lightsteelblue1" 13.65384 "c1" "c" 0.5 195
"49" "lightsteelblue1" 11.17831 "c2" "c" 0.5 195
"50" "lightsteelblue1" 11.28635 "c2" "c" 0.5 195
"51" "lightsteelblue1" 13.45341 "c2" "c" 0.5 195
"52" "lightsteelblue1" 10.69877 "c3" "c" 0.5 195
"53" "lightsteelblue1" 9.71423 "c3" "c" 0.5 195
"54" "lightsteelblue1" 11.73732 "c3" "c" 0.5 195
"55" "lightsteelblue1" 9.65306 "c4" "c" 0.5 195
"56" "lightsteelblue1" 10.21382 "c4" "c" 0.5 195
"57" "lightsteelblue1" 15.16168 "c4" "c" 0.5 195
"58" "lightsteelblue1" 10.70644 "c5" "c" 0.5 195
"59" "lightsteelblue1" 11.19721 "c5" "c" 0.5 195
"60" "lightsteelblue1" 13.60213 "c5" "c" 0.5 195
"61" "lightsteelblue1" 10.06982 "a1" "a" 0.5 195
"62" "lightsteelblue1" 9.63071 "a1" "a" 0.5 195
"63" "lightsteelblue1" 15.62631 "a1" "a" 0.5 195
"64" "lightsteelblue1" 8.7991 "a2" "a" 0.5 195
"65" "lightsteelblue1" 11.84055 "a2" "a" 0.5 195
"66" "lightsteelblue1" 12.49714 "a2" "a" 0.5 195
"67" "lightsteelblue1" 10.92505 "a3" "a" 0.5 195
"68" "lightsteelblue1" 10.51244 "a3" "a" 0.5 195
"69" "lightsteelblue1" 12.55723 "a3" "a" 0.5 195
"70" "lightsteelblue1" 9.60733 "a4" "a" 0.5 195
"71" "lightsteelblue1" 11.06864 "a4" "a" 0.5 195
"72" "lightsteelblue1" 13.36838 "a4" "a" 0.5 195
"73" "lightsteelblue1" 11.37228 "a5" "a" 0.5 195
"74" "lightsteelblue1" 11.59565 "a5" "a" 0.5 195
"75" "lightsteelblue1" 14.82602 "a5" "a" 0.5 195
"76" "lightsteelblue1" 10.29635 "h1" "h" 0.5 195
"77" "lightsteelblue1" 10.75786 "h1" "h" 0.5 195
"78" "lightsteelblue1" 13.05453 "h1" "h" 0.5 195
"79" "lightsteelblue1" 10.33149 "h2" "h" 0.5 195
"80" "lightsteelblue1" 10.92837 "h2" "h" 0.5 195
"81" "lightsteelblue1" 14.50758 "h2" "h" 0.5 195
"82" "lightsteelblue1" 9.09338 "h3" "h" 0.5 195
"83" "lightsteelblue1" 10.66095 "h3" "h" 0.5 195
"84" "lightsteelblue1" 13.70922 "h3" "h" 0.5 195
"85" "lightsteelblue1" 9.34962 "h4" "h" 0.5 195
"86" "lightsteelblue1" 9.54149 "h4" "h" 0.5 195
"87" "lightsteelblue1" 14.02434 "h4" "h" 0.5 195
"88" "lightsteelblue1" 9.29345 "h5" "h" 0.5 195
"89" "lightsteelblue1" 11.22331 "h5" "h" 0.5 195
"90" "lightsteelblue1" 14.62607 "h5" "h" 0.5 195
"91" "lightsteelblue1" 8.86499 "c1" "c" 1 195
"92" "lightsteelblue1" 10.4649 "c1" "c" 1 195
"93" "lightsteelblue1" 11.82982 "c1" "c" 1 195
"94" "lightsteelblue1" 10.19024 "c2" "c" 1 195
"95" "lightsteelblue1" 10.34139 "c2" "c" 1 195
"96" "lightsteelblue1" 12.55387 "c2" "c" 1 195
"97" "lightsteelblue1" 9.21199 "c3" "c" 1 195
"98" "lightsteelblue1" 9.51991 "c3" "c" 1 195
"99" "lightsteelblue1" 11.43498 "c3" "c" 1 195
"100" "lightsteelblue1" 8.52743 "c4" "c" 1 195
"101" "lightsteelblue1" 9.03483 "c4" "c" 1 195
"102" "lightsteelblue1" 14.27817 "c4" "c" 1 195
"103" "lightsteelblue1" 9.55324 "c5" "c" 1 195
"104" "lightsteelblue1" 9.88781 "c5" "c" 1 195
"105" "lightsteelblue1" 12.44281 "c5" "c" 1 195
"106" "lightsteelblue1" 7.92283 "a1" "a" 1 195
"107" "lightsteelblue1" 9.10626 "a1" "a" 1 195
"108" "lightsteelblue1" 14.6431 "a1" "a" 1 195
"109" "lightsteelblue1" 7.69751 "a2" "a" 1 195
"110" "lightsteelblue1" 11.83926 "a2" "a" 1 195
"111" "lightsteelblue1" 11.93128 "a2" "a" 1 195
"112" "lightsteelblue1" 9.23938 "a3" "a" 1 195
"113" "lightsteelblue1" 10.1104 "a3" "a" 1 195
"114" "lightsteelblue1" 11.81748 "a3" "a" 1 195
"115" "lightsteelblue1" 8.0599 "a4" "a" 1 195
"116" "lightsteelblue1" 10.6647 "a4" "a" 1 195
"117" "lightsteelblue1" 12.09419 "a4" "a" 1 195
"118" "lightsteelblue1" 9.8196 "a5" "a" 1 195
"119" "lightsteelblue1" 11.26817 "a5" "a" 1 195
"120" "lightsteelblue1" 13.88135 "a5" "a" 1 195
"121" "lightsteelblue1" 8.32201 "h1" "h" 1 195
"122" "lightsteelblue1" 10.76294 "h1" "h" 1 195
"123" "lightsteelblue1" 12.26473 "h1" "h" 1 195
"124" "lightsteelblue1" 9.76638 "h2" "h" 1 195
"125" "lightsteelblue1" 10.36366 "h2" "h" 1 195
"126" "lightsteelblue1" 13.85846 "h2" "h" 1 195
"127" "lightsteelblue1" 7.89606 "h3" "h" 1 195
"128" "lightsteelblue1" 9.80785 "h3" "h" 1 195
"129" "lightsteelblue1" 12.85209 "h3" "h" 1 195
"130" "lightsteelblue1" 7.71845 "h4" "h" 1 195
"131" "lightsteelblue1" 8.49075 "h4" "h" 1 195
"132" "lightsteelblue1" 13.62773 "h4" "h" 1 195
"133" "lightsteelblue1" 8.94382 "h5" "h" 1 195
"134" "lightsteelblue1" 10.98039 "h5" "h" 1 195
"135" "lightsteelblue1" 14.2814 "h5" "h" 1 195
"136" "lightsteelblue1" 7.31151 "c1" "c" 2 195
"137" "lightsteelblue1" 10.46459 "c1" "c" 2 195
"138" "lightsteelblue1" 11.18754 "c1" "c" 2 195
"139" "lightsteelblue1" 8.12271 "c2" "c" 2 195
"140" "lightsteelblue1" 8.81429 "c2" "c" 2 195
"141" "lightsteelblue1" 10.89895 "c2" "c" 2 195
"142" "lightsteelblue1" 7.55901 "c3" "c" 2 195
"143" "lightsteelblue1" 9.29482 "c3" "c" 2 195
"144" "lightsteelblue1" 11.07311 "c3" "c" 2 195
"145" "lightsteelblue1" 6.77636 "c4" "c" 2 195
"146" "lightsteelblue1" 7.04786 "c4" "c" 2 195
"147" "lightsteelblue1" 10.8738 "c4" "c" 2 195
"148" "lightsteelblue1" 8.24835 "c5" "c" 2 195
"149" "lightsteelblue1" 8.35008 "c5" "c" 2 195
"150" "lightsteelblue1" 10.46056 "c5" "c" 2 195
"151" "lightsteelblue1" 8.04156 "a1" "a" 2 195
"152" "lightsteelblue1" 9.23007 "a1" "a" 2 195
"153" "lightsteelblue1" 10.49064 "a1" "a" 2 195
"154" "lightsteelblue1" 7.17187 "a2" "a" 2 195
"155" "lightsteelblue1" 10.92768 "a2" "a" 2 195
"156" "lightsteelblue1" 10.11812 "a2" "a" 2 195
"157" "lightsteelblue1" 8.44621 "a3" "a" 2 195
"158" "lightsteelblue1" 8.98307 "a3" "a" 2 195
"159" "lightsteelblue1" 11.36751 "a3" "a" 2 195
"160" "lightsteelblue1" 6.8615 "a4" "a" 2 195
"161" "lightsteelblue1" 9.14081 "a4" "a" 2 195
"162" "lightsteelblue1" 10.97974 "a4" "a" 2 195
"163" "lightsteelblue1" 8.41572 "a5" "a" 2 195
"164" "lightsteelblue1" 9.13612 "a5" "a" 2 195
"165" "lightsteelblue1" 11.19808 "a5" "a" 2 195
"166" "lightsteelblue1" 7.67103 "h1" "h" 2 195
"167" "lightsteelblue1" 9.37177 "h1" "h" 2 195
"168" "lightsteelblue1" 10.38082 "h1" "h" 2 195
"169" "lightsteelblue1" 7.62154 "h2" "h" 2 195
"170" "lightsteelblue1" 8.85179 "h2" "h" 2 195
"171" "lightsteelblue1" 12.22163 "h2" "h" 2 195
"172" "lightsteelblue1" 7.76147 "h3" "h" 2 195
"173" "lightsteelblue1" 9.87919 "h3" "h" 2 195
"174" "lightsteelblue1" 12.98797 "h3" "h" 2 195
"175" "lightsteelblue1" 6.96037 "h4" "h" 2 195
"176" "lightsteelblue1" 8.40489 "h4" "h" 2 195
"177" "lightsteelblue1" 11.92526 "h4" "h" 2 195
"178" "lightsteelblue1" 7.0707 "h5" "h" 2 195
"179" "lightsteelblue1" 9.59241 "h5" "h" 2 195
"180" "lightsteelblue1" 12.97301 "h5" "h" 2 195
"181" "mediumpurple3" 7.71873 "c1" "c" 0.1 196
"182" "mediumpurple3" 7.27079 "c1" "c" 0.1 196
"183" "mediumpurple3" 10.68722 "c1" "c" 0.1 196
"184" "mediumpurple3" 11.56298 "c1" "c" 0.1 196
"185" "mediumpurple3" 8.12044 "c2" "c" 0.1 196
"186" "mediumpurple3" 8.17604 "c2" "c" 0.1 196
"187" "mediumpurple3" 10.40812 "c2" "c" 0.1 196
"188" "mediumpurple3" 12.52279 "c2" "c" 0.1 196
"189" "mediumpurple3" 9.50261 "c3" "c" 0.1 196
"190" "mediumpurple3" 7.12301 "c3" "c" 0.1 196
"191" "mediumpurple3" 12.95749 "c3" "c" 0.1 196
"192" "mediumpurple3" 13.62248 "c3" "c" 0.1 196
"193" "mediumpurple3" 8.65746 "c4" "c" 0.1 196
"194" "mediumpurple3" 7.96411 "c4" "c" 0.1 196
"195" "mediumpurple3" 10.15833 "c4" "c" 0.1 196
"196" "mediumpurple3" 13.06228 "c4" "c" 0.1 196
